Year,Total Fights,(T)KOs,Submissions,Total Decisions,No Contests,DQs
2023,549,169,107,262,9,2
2022,538,180,106,250,1,1
2021,509,170,75,257,5,2
2020,456,142,84,226,2,2
2019,516,152,82,278,3,1
2018,474,151,90,229,3,1
2017,457,145,81,225,5,1
2016,493,153,89,248,3,0
2015,473,155,88,221,8,1
2014,503,150,97,248,7,1
2013,386,129,68,179,9,1
2012,341,105,70,158,6,2
2011,300,93,57,147,3,0
2010,253,67,61,124,0,1
2009,215,71,50,92,1,1
2008,201,83,54,64,0,0
2007,171,52,55,62,1,1
2006,158,55,51,52,0,0
2005,80,38,22,19,1,0
2004,39,17,12,10,0,0
2003,41,18,8,14,0,1
2002,53,27,10,15,1,0
2001,40,16,10,12,1,1
2000,43,12,13,17,0,1
1999,44,23,10,11,0,0
1998,25,10,8,7,0,0
1997,41,14,18,8,1,0
1996,43,18,20,5,0,0
1995,40,11,24,5,0,0
1994,31,8,23,0,0,0
1993,8,3,5,0,0,0
