Fighter,Peak Elo,Year Achieved,UFC Record,Avg. Opp. Elo
place holder,0,0,0,0
Jon Jones,375.093,2024,22-1-0,178.768
Georges St-Pierre,346.526,2017,20-2-0,172.382
Kamaru Usman,322.851,2021,15-3-0,191.918
Islam Makhachev,317.671,2024,15-1-0,183.191
Anderson Silva,315.715,2012,17-7-0,160.084
Tony Ferguson,297.683,2019,15-9-0,156.936
Max Holloway,296.680,2024,22-8-0,169.636
Donald Cerrone,296.204,2016,23-14-0,159.378
Charles Oliveira,295.886,2023,23-10-0,160.692
Leon Edwards,295.324,2023,14-3-0,178.682
Dustin Poirier,295.194,2021,22-8-0,161.008
Khabib Nurmagomedov,292.587,2020,13-0-0,165.623
Alexander Volkanovski,291.951,2023,13-3-0,202.494
Demetrious Johnson,289.863,2017,15-2-1,137.696
Belal Muhammad,289.231,2024,15-3-0,163.248
Aljamain Sterling,284.001,2023,16-5-0,168.103
Chuck Liddell,279.364,2006,16-7-0,139.389
Amanda Nunes,277.681,2023,16-2-0,135.325
Israel Adesanya,275.206,2023,13-4-0,192.125
Stipe Miocic,275.053,2020,14-5-0,194.449
Beneil Dariush,271.992,2023,16-6-1,159.675
Demian Maia,271.883,2017,22-11-0,155.619
Daniel Cormier,270.929,2018,11-3-0,212.729
Robert Whittaker,267.453,2021,17-6-0,168.909
Francis Ngannou,263.779,2022,12-2-0,180.671
Jon Fitch,262.482,2011,14-3-1,141.576
Glover Teixeira,262.364,2021,16-7-0,164.797
Rashad Evans,260.982,2012,14-8-1,163.315
Matt Hughes,259.541,2006,18-7-0,134.204
Chris Weidman,255.314,2015,12-8-0,180.848
Rafael Dos Anjos,255.263,2017,21-15-0,166.386
Joseph Benavidez,255.109,2019,15-6-0,136.185
Frankie Edgar,254.420,2017,18-11-1,170.236
Michael Bisping,253.890,2016,20-9-0,143.311
Vicente Luque,253.367,2021,16-6-0,144.838
Neil Magny,252.809,2022,22-12-0,150.149
Deiveson Figueiredo,250.748,2024,13-4-1,167.642
Valentina Shevchenko,250.716,2023,13-3-1,150.000
Royce Gracie,249.995,1995,11-1-1,128.495
Derrick Lewis,249.450,2021,19-10-0,148.804
Merab Dvalishvili,247.556,2024,11-2-0,147.528
Cain Velasquez,247.321,2013,12-3-0,156.986
Gilbert Burns,247.003,2023,15-8-0,163.608
Magomed Ankalaev,246.697,2024,11-1-1,139.855
Junior Dos Santos,246.554,2019,15-8-0,161.078
Colby Covington,245.048,2019,12-4-0,187.341
Brendan Allen,244.127,2024,12-3-0,139.945
Andrei Arlovski,243.422,2015,23-18-0,127.378
Movsar Evloev,242.802,2024,9-0-0,160.671
Curtis Blaydes,242.492,2023,13-5-0,161.696
Johny Hendricks,241.808,2014,13-8-0,164.914
Arnold Allen,241.569,2023,11-2-0,147.417
TJ Dillashaw,240.503,2018,13-5-0,160.273
Alexandre Pantoja,240.156,2024,13-3-0,129.785
Dricus Du Plessis,240.096,2024,8-0-0,193.443
Ryan Bader,239.312,2016,15-5-0,147.086
Henry Cejudo,238.868,2020,10-4-0,188.279
Alex Pereira,238.698,2024,9-1-0,189.646
Sean Strickland,238.071,2023,16-6-0,148.211
Sean O'Malley,237.944,2024,10-2-0,152.338
Ilia Topuria,237.163,2024,8-0-0,183.150
Khamzat Chimaev,236.773,2024,8-0-0,180.741
Ciryl Gane,236.764,2024,10-2-0,191.111
Derek Brunson,235.402,2021,14-7-0,155.310
Francisco Trinaldo,233.442,2023,18-8-0,133.538
Darren Elkins,232.558,2018,19-10-0,122.120
Robbie Lawler,232.280,2016,15-10-0,162.231
Yoel Romero,231.745,2016,9-4-0,181.604
Josh Koscheck,230.815,2012,15-10-0,136.311
Tito Ortiz,229.821,2006,14-11-1,154.019
Tyron Woodley,229.538,2018,9-6-1,196.012
Conor McGregor,229.307,2020,10-4-0,193.113
Jim Miller,229.275,2014,27-17-0,134.167
Anthony Johnson,228.062,2016,13-6-0,149.845
Raphael Assuncao,227.909,2018,12-7-0,131.988
Grant Dawson,227.328,2024,10-1-1,136.639
Alexander Volkov,226.985,2024,12-5-0,166.039
Dong Hyun Kim,226.905,2016,13-4-0,128.937
Lyoto Machida,226.450,2014,16-8-0,162.516
Benson Henderson,226.103,2014,11-3-0,171.552
Gray Maynard,224.267,2010,11-7-1,142.347
John Lineker,223.615,2018,12-4-0,123.946
Yair Rodriguez,223.379,2023,10-4-0,164.640
Rich Franklin,223.328,2008,14-6-0,137.190
Yushin Okami,223.279,2013,14-7-0,138.281
Cory Sandhagen,222.894,2023,10-4-0,184.894
Arman Tsarukyan,222.571,2024,9-2-0,165.408
Randy Brown,222.203,2024,13-6-0,139.766
Edson Barboza,221.488,2017,18-12-0,151.697
Marlon Vera,221.486,2023,15-9-0,141.608
James Vick,221.054,2018,9-5-0,138.580
Shavkat Rakhmonov,219.943,2024,7-0-0,180.048
Jose Aldo,219.218,2019,14-8-0,188.036
Joanna Jedrzejczyk,218.258,2017,10-5-0,138.079
Raquel Pennington,218.256,2024,13-6-0,130.085
Song Yadong,218.227,2023,10-3-1,146.030
Tom Aspinall,218.024,2024,8-1-0,169.227
Randy Couture,218.019,2007,16-8-0,156.794
Jan Blachowicz,217.465,2023,12-7-1,161.033
Zhang Weili,217.295,2024,9-2-0,166.679
BJ Penn,216.496,2009,12-13-2,167.667
Kenny Florian,215.927,2010,12-5-0,132.149
Michel Prazeres,215.189,2018,10-4-0,111.622
Michael Chiesa,214.990,2021,13-7-0,157.319
Jessica Andrade,214.967,2023,17-11-0,144.469
Mike Swick,214.916,2009,10-5-0,126.402
Jack Della Maddalena,214.479,2024,7-0-0,156.687
Stephen Thompson,214.404,2016,12-8-1,165.363
Santiago Ponzinibbio,214.105,2018,11-7-0,144.781
Vitor Belfort,214.091,2013,15-10-0,162.380
Kelvin Gastelum,214.074,2018,13-9-0,166.391
Fabricio Werdum,213.974,2017,12-6-0,155.940
Thiago Santos,213.646,2019,14-10-0,140.201
Josh Emmett,213.594,2023,10-4-0,156.545
Diego Sanchez,212.402,2009,19-13-0,139.893
Kevin Lee,211.791,2018,11-8-0,157.833
Manon Fiorot,211.339,2024,7-0-0,144.900
Frank Mir,211.271,2011,16-11-0,127.904
Don Frye,211.003,1996,9-1-0,120.341
Petr Yan,210.612,2021,10-4-0,178.500
Rory MacDonald,210.163,2014,9-4-0,152.005
Michel Pereira,210.083,2024,9-3-0,132.161
Mario Bautista,209.609,2024,9-2-0,125.985
Renato Moicano,209.099,2024,12-5-0,143.809
Gegard Mousasi,208.649,2017,9-3-0,158.465
Dan Severn,208.594,1996,9-4-0,143.206
Brad Tavares,208.572,2018,15-10-0,132.760
Jonathan Martinez,208.343,2023,10-5-0,128.674
Cub Swanson,208.282,2017,14-10-0,146.655
Lerone Murphy,207.479,2024,7-0-1,136.566
Rose Namajunas,207.356,2021,11-6-0,163.608
Brian Ortega,207.240,2020,8-4-0,184.587
Evan Tanner,206.831,2005,11-6-0,117.101
Caio Borralho,206.640,2024,7-0-0,130.145
Rustam Khabilov,206.624,2018,10-3-0,132.441
Tatiana Suarez,206.376,2023,7-0-0,129.273
George Sotiropoulos,205.925,2010,7-4-0,122.506
Justin Gaethje,205.722,2023,8-5-0,224.425
Rani Yahya,205.596,2021,13-6-1,106.610
Renan Barao,205.423,2014,9-8-0,122.792
Giga Chikadze,205.057,2021,8-2-0,140.574
Thales Leites,204.866,2015,13-8-0,131.941
Phil Davis,204.522,2013,9-3-0,138.984
Katlyn Chookagian,203.711,2023,11-5-0,130.098
Brandon Moreno,203.662,2023,10-5-2,163.706
Drakkar Klose,203.352,2024,9-2-0,127.013
Matt Brown,203.163,2014,17-13-0,130.841
Sean Brady,202.759,2024,7-1-0,168.444
Jacare Souza,202.566,2018,9-7-0,172.945
Leonardo Santos,202.418,2020,7-3-1,124.592
Jorge Masvidal,202.283,2019,12-10-0,174.971
Muhammad Mokaev,201.858,2024,7-0-0,113.375
Gleison Tibau,201.746,2015,16-12-0,118.931
Dan Hooker,201.622,2024,14-8-0,151.427
